signal,civic8_can_id,civic8_confidence,civic8_notes,civic9_can_id,civic9_confidence,civic9_notes,civic10_can_id,civic10_message,civic10_confidence,civic10_notes,end_to_end_status
engine_rpm,UNKNOWN,UNKNOWN,AiM channel name only,UNKNOWN,UNKNOWN,Racelogic/AiM names only,0x158,ENGINE_DATA,DOCUMENTED,ENGINE_RPM 23|16,SOURCE_UNKNOWN_TARGET_DOCUMENTED
vehicle_speed,UNKNOWN,UNKNOWN,AiM/Racelogic names only,UNKNOWN,UNKNOWN,EDR paper mentions 0x309 no packing,0x309,CAR_SPEED,DOCUMENTED,CAR_SPEED 7|16 x0.01,SOURCE_UNKNOWN_TARGET_DOCUMENTED
coolant_temperature,UNKNOWN,UNKNOWN,AiM WaterTemp/ECU_ENG_T name only,UNKNOWN,UNKNOWN,AiM names only,,,UNKNOWN,"No SG_ in opendbc; CHFFR_METRIC 804 annotation only",UNKNOWN
fuel_level,UNKNOWN,UNKNOWN,AiM ECU_FUEL_LEV name only,UNKNOWN,UNKNOWN,,,UNKNOWN,"No SG_ FUEL_LEVEL; TRIP_FUEL_CONSUMED != tank",UNKNOWN
gear_position,UNKNOWN,UNKNOWN,,,UNKNOWN,,,0x191,GEARBOX,DOCUMENTED,classic GEAR_SHIFTER @5|6 + CONFLICT _gearbox_common,SOURCE_UNKNOWN_TARGET_DOCUMENTED
turn_signal_left,UNKNOWN,UNKNOWN,,,UNKNOWN,,,0x326,SCM_FEEDBACK,DOCUMENTED,"LEFT_BLINKER @26 Civic Nidec-B/Bosch; CR-V Nidec-A uses 0x294",SOURCE_UNKNOWN_TARGET_DOCUMENTED
turn_signal_right,UNKNOWN,UNKNOWN,,,UNKNOWN,,,0x326,SCM_FEEDBACK,DOCUMENTED,RIGHT_BLINKER @27,SOURCE_UNKNOWN_TARGET_DOCUMENTED
throttle_position,UNKNOWN,UNKNOWN,,,UNKNOWN,,,0x17C,POWERTRAIN_DATA,DOCUMENTED,PEDAL_GAS raw 0-255,TARGET_ONLY
service_brake,UNKNOWN,UNKNOWN,,,UNKNOWN,,,0x17C,POWERTRAIN_DATA,DOCUMENTED,BRAKE_PRESSED @53,TARGET_ONLY
high_beam,UNKNOWN,UNKNOWN,,,UNKNOWN,,,0x37B,STALK_STATUS_2,DOCUMENTED,HIGH_BEAMS,TARGET_ONLY
low_beam,UNKNOWN,UNKNOWN,,,UNKNOWN,,,0x37B,STALK_STATUS_2,DOCUMENTED,LOW_BEAMS,TARGET_ONLY
headlights_on,UNKNOWN,UNKNOWN,,,UNKNOWN,,,0x374,STALK_STATUS,DOCUMENTED,HEADLIGHTS_ON @54,TARGET_ONLY
steering_angle,UNKNOWN,UNKNOWN,,,UNKNOWN,COMMUNITY_REPORTED,Macchina cites 0x153 no packing,0x14A,STEERING_SENSORS,DOCUMENTED,STEER_ANGLE @7|16 x-0.1,TARGET_ONLY
parking_brake,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,Racelogic Handbrake name,0x1C2,EPB_STATUS,DOCUMENTED,EPB_ACTIVE,SOURCE_UNKNOWN_TARGET_DOCUMENTED
door_states,UNKNOWN,UNKNOWN,,,UNKNOWN,,,0x405,DOORS_STATUS,DOCUMENTED,door bits,TARGET_ONLY
trunk_state,UNKNOWN,UNKNOWN,,,UNKNOWN,,,0x405,DOORS_STATUS,DOCUMENTED,TRUNK_OPEN,TARGET_ONLY
seatbelt_driver,UNKNOWN,UNKNOWN,,,UNKNOWN,,,0x305,SEATBELT_STATUS,DOCUMENTED,,TARGET_ONLY
odometer,UNKNOWN,UNKNOWN,,,UNKNOWN,,,0x516,ODOMETER,DOCUMENTED,BO_ 1302,TARGET_ONLY
honda_checksum_algo,UNKNOWN,UNKNOWN,,,UNKNOWN,,,,n/a,DOCUMENTED,honda_nibble_v1,TARGET_ONLY
f_can_bitrate,n/a,DOCUMENTED,500k,n/a,DOCUMENTED,500k OBD,n/a,n/a,DOCUMENTED,500k,BUS_PARAM
gearbox_conflict,,,,,,,0x191,GEARBOX,CONFLICT,_gearbox_common vs classic,REQUIRES_REVIEW
scm_crv_conflict,,,,,,,,SCM_FEEDBACK,CONFLICT,CR-V Touring 0x294@5/6 vs Bosch 0x326@26/27,REQUIRES_REVIEW
